id_music,id_user,user_gender,user_age,rating,date
4,6383,1,40,10,2021-06-19
6,260,1,39,8,2013-07-02
2,6452,1,41,8,2014-09-17
1,8600,0,40,9,2021-04-02
3,2204,0,52,9,2016-08-16
2,4309,1,43,7,2019-01-26
1,1655,0,36,7,2020-06-24
3,2338,1,40,5,2014-08-18
5,4364,1,44,9,2017-09-29
5,4541,1,37,6,2022-04-09
7,2233,1,41,7,2017-09-07
1,2058,0,40,10,2017-06-01
4,10263,1,43,8,2021-09-13
5,5950,1,38,5,2014-08-28
7,7381,1,43,6,2022-12-29
7,6097,0,47,6,2019-01-15
1,8803,0,43,8,2014-12-18
4,2487,0,41,6,2017-08-18
1,4949,0,43,10,2015-09-06
8,2600,0,39,5,2021-03-08
7,6133,1,43,8,2015-06-20
8,190,0,48,6,2017-05-27
9,1124,0,39,8,2022-04-10
0,9212,1,37,9,2015-05-29
8,3024,0,38,9,2015-09-12
4,8672,0,35,8,2013-10-16
8,7174,1,29,8,2019-12-26
9,10338,0,35,8,2018-02-18
7,4228,1,34,8,2017-05-09
3,4861,1,45,8,2020-10-15
2,2119,1,40,9,2017-06-18
3,1438,0,40,7,2013-11-16
3,7649,0,44,5,2013-11-04
7,7863,0,38,7,2019-12-04
4,1984,1,41,8,2014-10-31
4,4095,0,35,8,2017-09-30
2,9977,1,32,9,2013-10-31
2,3727,1,42,9,2014-07-16
7,2267,1,44,7,2020-05-27
7,4782,0,42,9,2016-07-04
9,6426,1,40,7,2015-10-11
6,8462,0,46,6,2021-06-16
7,8858,0,42,8,2013-04-23
9,1878,0,49,8,2021-08-27
3,8645,1,32,6,2017-12-17
9,5455,0,40,9,2022-05-26
6,7784,1,51,8,2017-05-11
8,6117,1,42,6,2013-12-19
6,2325,1,36,7,2018-09-06
7,4132,0,47,6,2014-05-18
0,6264,0,34,6,2017-05-01
1,1712,1,37,7,2018-06-03
1,9911,0,44,7,2017-07-11
2,183,1,38,7,2018-05-11
8,995,1,41,7,2022-10-04
2,5813,0,40,7,2019-09-22
9,5154,0,42,7,2022-11-17
7,5063,0,42,8,2013-11-04
0,3031,1,45,9,2021-03-16
7,8677,0,36,7,2014-10-09
2,2905,0,42,7,2017-01-23
2,8311,1,36,7,2017-12-27
0,7183,0,39,9,2014-10-31
9,7453,1,37,7,2017-11-25
5,9883,0,42,4,2022-12-25
2,3535,0,40,7,2017-10-06
1,4510,0,40,6,2022-02-08
6,710,0,35,7,2021-07-01
4,325,0,49,8,2021-03-15
8,5325,0,37,7,2017-08-22
1,7750,0,40,9,2021-03-11
8,9804,1,42,6,2021-01-13
1,8793,1,42,6,2015-02-27
5,5824,1,36,8,2016-05-16
6,6163,0,40,6,2022-09-27
0,2940,1,44,9,2022-07-26
3,1641,0,45,6,2022-04-12
6,3517,0,49,8,2014-10-21
3,8904,1,48,6,2015-02-19
6,2516,1,35,7,2019-09-14
7,2869,1,33,7,2020-09-27
8,3470,0,45,8,2020-03-26
2,231,1,35,6,2021-08-11
8,3465,0,43,8,2015-08-30
4,7250,0,41,9,2014-01-29
1,6260,0,42,9,2015-06-07
7,8166,1,39,8,2022-07-25
4,6995,1,37,7,2022-02-02
1,8104,0,36,7,2021-05-19
3,2362,0,37,5,2015-11-10
9,6792,0,36,6,2013-07-02
6,6805,1,38,7,2015-02-05
4,2428,1,38,10,2018-11-28
9,8218,0,43,8,2015-10-11
4,8210,1,45,8,2019-05-21
5,734,1,37,9,2015-05-30
7,3213,1,38,8,2013-05-16
8,1703,1,34,9,2021-07-14
8,609,0,40,7,2013-12-07
0,8819,0,38,7,2022-03-21
1,2629,0,37,10,2013-10-10
4,2091,1,35,8,2018-10-07
0,7950,1,47,5,2018-08-04
5,3763,0,45,7,2022-07-31
8,3863,0,39,5,2017-12-12
5,7732,0,36,5,2016-01-13
9,8668,1,48,6,2013-11-15
3,2861,0,41,7,2015-07-08
6,5923,1,45,7,2019-01-04
6,3908,1,49,6,2022-02-22
1,2791,1,44,9,2018-02-25
4,5039,1,32,8,2015-12-22
4,420,1,36,7,2017-08-23
9,5881,1,37,7,2021-02-24
7,31,1,41,8,2017-09-03
1,1499,0,35,9,2018-11-18
3,3182,0,40,9,2018-01-14
1,6033,0,34,8,2016-07-30
6,8016,0,41,6,2022-05-16
3,5178,0,42,10,2018-01-23
8,1002,1,40,8,2014-02-14
2,8523,0,41,7,2014-01-11
8,3752,0,38,8,2019-11-03
0,456,1,41,8,2019-09-04
9,9324,0,34,7,2017-06-19
9,3587,0,43,9,2020-04-07
7,6987,1,39,8,2019-06-04
0,4770,1,43,8,2013-01-31
8,8746,0,39,5,2019-07-20
4,8499,0,38,8,2021-10-13
2,267,0,39,6,2014-06-12
9,7285,1,45,8,2016-10-24
2,2153,0,35,8,2022-10-31
3,10167,1,34,9,2016-06-26
8,10363,1,41,7,2020-10-15
6,2512,1,36,9,2019-09-06
5,3722,0,51,8,2015-01-07
5,255,1,37,6,2021-08-05
7,6294,1,33,7,2018-04-29
9,6600,0,37,7,2020-12-29
9,3434,1,46,9,2023-02-21
7,7192,0,35,9,2018-08-03
3,1745,1,38,8,2019-08-16
2,9542,1,35,8,2023-01-31
7,4920,1,40,9,2018-01-30
6,6124,1,41,7,2021-10-02
4,8432,0,34,7,2015-10-18
6,6443,1,36,6,2020-05-26
4,3792,1,45,5,2018-11-07
9,6691,1,37,8,2020-01-19
6,5535,0,43,7,2021-09-10
0,6528,0,44,6,2016-05-06
5,2934,0,39,8,2016-11-16
2,2548,0,40,7,2014-12-05
0,3639,1,43,9,2015-03-20
9,4252,0,37,7,2017-08-20
5,5285,0,39,8,2019-04-20
7,8052,0,44,8,2021-11-08
1,5777,1,39,5,2013-08-05
4,9358,1,39,8,2020-05-11
0,4341,0,36,7,2021-10-11
4,652,1,33,8,2018-06-15
1,2036,1,39,7,2015-06-01
1,2805,1,37,8,2017-03-26
5,6335,1,33,8,2015-05-23
9,673,1,47,8,2021-04-24
6,2663,0,38,6,2018-01-20
8,8523,1,42,10,2015-04-06
9,8695,0,46,8,2016-09-19
3,5167,1,40,6,2013-04-16
8,2259,0,43,6,2019-01-07
6,82,0,30,8,2017-06-22
6,3759,0,45,8,2016-03-09
1,9472,1,45,8,2013-01-24
6,8773,0,42,6,2018-07-09
2,3342,1,37,8,2020-06-11
9,6822,1,46,9,2014-02-28
7,10314,1,40,9,2015-01-21
8,5377,0,30,6,2016-06-04
7,4818,1,41,9,2018-05-22
5,2084,1,37,8,2017-09-17
1,96,1,41,5,2015-02-06
4,10170,1,38,6,2019-05-01
3,7127,0,39,8,2014-11-05
0,1303,1,47,9,2014-10-31
0,3216,1,33,7,2014-12-02
1,4004,0,40,7,2015-12-17
6,6099,1,45,8,2022-12-01
5,5246,0,47,9,2013-12-07
5,799,1,47,6,2019-01-21
3,7438,0,44,6,2015-09-21
7,1581,0,40,8,2013-06-10
6,7150,1,42,9,2015-09-17
4,5486,0,38,9,2017-08-31
3,2100,0,43,4,2017-07-28
2,6283,1,45,8,2017-02-14
8,5917,0,41,7,2014-10-22
1,1188,0,46,8,2020-08-07
2,5961,1,44,6,2022-08-22
6,5430,0,36,9,2023-02-16
3,1754,1,37,10,2020-08-06
8,7308,0,34,8,2015-05-25
7,10168,1,46,8,2014-12-06
6,7389,0,39,6,2014-06-26
3,4647,0,33,7,2017-09-15
9,2082,0,36,7,2022-01-28
4,9744,0,42,6,2013-07-01
2,8107,1,39,9,2014-07-21
7,902,0,39,9,2015-04-10
9,10296,1,36,7,2018-08-09
7,521,0,47,6,2022-06-01
8,9498,1,45,8,2022-12-27
7,6117,1,36,8,2014-04-11
6,5616,1,41,7,2021-08-05
5,590,1,44,9,2019-04-24
7,2882,1,44,7,2016-04-23
9,8836,1,42,8,2019-05-15
1,6302,0,35,9,2021-04-05
0,472,1,40,8,2021-11-24
0,3903,0,33,10,2014-07-25
2,9635,1,41,6,2020-02-21
1,9731,0,49,8,2018-04-19
6,6319,1,42,7,2020-08-01
1,3764,1,39,7,2019-05-22
7,669,0,46,8,2014-11-11
7,740,1,39,7,2015-09-11
7,2368,0,44,8,2014-09-01
5,1313,1,39,8,2018-08-08
9,4857,0,48,5,2021-04-01
0,6123,1,37,10,2020-06-11
0,7249,1,46,6,2019-08-19
5,8978,0,41,9,2022-11-21
7,7663,1,38,7,2015-10-14
9,1605,1,45,7,2018-04-23
1,8751,0,45,8,2019-06-06
9,2336,0,42,9,2019-11-06
2,4893,1,35,7,2017-11-08
2,7800,1,43,4,2020-04-04
9,654,1,36,8,2018-02-06
2,687,1,40,7,2017-02-28
6,2290,0,40,8,2016-07-11
5,4175,1,40,6,2016-04-09
9,3147,0,39,8,2019-03-02
9,1966,0,45,8,2021-03-15
2,5035,1,37,7,2013-09-18
4,2465,0,40,5,2014-03-18
3,990,0,34,7,2020-02-21
5,6790,1,36,7,2020-06-01
8,9358,0,41,8,2014-02-08
3,7438,1,39,7,2021-05-12
3,3195,0,44,8,2016-03-03
7,10097,0,38,9,2016-07-04
6,3192,1,41,7,2017-11-05
0,5357,1,37,8,2018-07-01
8,8178,0,36,6,2019-03-18
1,5472,0,35,7,2015-04-07
1,8603,1,41,7,2017-09-13
6,5620,1,40,10,2021-02-12
0,4544,0,43,7,2020-01-22
3,8482,0,39,7,2017-09-24
4,5884,0,42,7,2013-02-09
8,6470,0,40,7,2015-05-10
4,3389,0,38,7,2017-06-10
1,2925,0,32,6,2023-04-01
4,5809,1,36,8,2013-04-03
6,9743,1,38,8,2017-11-02
9,4553,1,35,7,2018-04-16
8,9778,0,42,5,2016-11-26
0,9240,1,43,9,2015-12-11
9,7511,1,38,7,2014-02-02
9,1311,1,41,7,2022-09-28
0,6368,0,40,7,2019-03-16
1,5076,1,46,8,2015-11-08
3,4102,1,41,9,2017-01-14
7,9358,1,36,7,2021-08-09
3,6996,1,37,7,2018-01-31
2,9154,1,42,7,2016-11-06
7,1991,1,39,8,2015-10-03
9,2035,0,38,6,2019-05-27
0,2023,1,42,7,2022-02-04
2,9813,1,37,7,2019-02-11
7,6934,0,35,8,2021-01-01
2,7514,1,40,8,2013-06-19
0,4374,1,44,7,2020-01-13
8,537,0,35,7,2019-05-19
9,3282,1,38,6,2018-07-21
2,2990,1,40,9,2021-12-01
7,4019,1,47,7,2019-05-06
5,10099,0,44,7,2022-10-06
9,2405,1,39,8,2022-08-27
7,476,0,37,8,2016-10-02
6,978,0,39,10,2017-09-19
1,7303,0,42,6,2013-11-29
1,6184,0,42,7,2014-08-24
2,4470,0,40,7,2013-12-30
9,6628,0,43,6,2017-02-13
2,9010,0,40,5,2014-06-22
1,7280,1,36,7,2013-06-30
9,10322,0,37,8,2022-11-27
0,2846,0,42,8,2018-07-09
1,1540,1,42,7,2019-11-01
9,4387,1,41,9,2016-04-06
7,2815,0,37,10,2017-06-13
1,2904,1,38,9,2022-03-12
6,2837,1,30,8,2016-08-20
2,8916,0,38,6,2018-03-07
9,7736,1,46,6,2020-04-13
6,4519,0,36,8,2013-08-27
4,2816,0,41,9,2022-04-26
9,1710,0,40,6,2021-05-25
4,1181,0,32,8,2013-08-15
7,5698,0,42,7,2013-01-09
4,2950,1,42,7,2020-05-20
0,2447,0,40,8,2016-05-17
5,9147,0,39,7,2016-07-29
8,1400,0,44,7,2022-02-21
2,9947,0,40,8,2022-11-09
1,3441,1,41,7,2017-12-13
9,559,0,41,6,2015-01-13
5,5864,1,43,9,2021-10-19
5,5761,1,47,8,2022-01-25
1,9264,1,37,8,2022-12-26
5,3303,0,45,8,2020-04-20
1,7174,1,42,7,2018-09-13
5,3385,1,40,6,2020-09-25
4,2716,1,46,5,2018-05-20
4,2857,0,36,8,2018-10-24
6,1815,0,37,6,2020-06-04
3,1235,0,46,7,2019-06-01
2,7349,0,38,8,2018-08-06
9,4591,1,36,9,2017-04-10
7,9320,0,35,5,2013-10-18
5,8784,0,37,7,2016-08-02
5,5334,0,38,5,2021-05-01
4,9888,1,37,10,2013-10-21
5,7446,1,46,8,2013-08-17
1,3411,1,42,9,2016-10-01
5,3066,0,43,6,2018-09-10
6,2811,0,40,7,2018-04-26
7,3547,0,36,3,2016-07-15
4,8780,0,38,8,2016-06-06
1,7127,0,44,7,2016-11-25
7,3732,0,40,6,2015-03-19
8,7756,1,48,8,2021-05-23
1,5925,1,43,8,2017-06-07
7,10275,1,40,7,2014-02-24
1,4454,1,43,7,2013-05-22
5,5315,0,42,7,2018-11-29
1,610,0,35,6,2019-01-08
4,3921,1,41,9,2022-12-09
6,8581,0,46,7,2019-04-26
8,2353,1,31,8,2022-09-28
2,4985,0,37,9,2020-03-21
3,4274,1,39,10,2016-12-23
5,7587,1,30,9,2019-09-05
1,8074,0,40,8,2015-02-01
0,5472,0,40,7,2020-11-22
1,2506,1,44,9,2014-03-15
0,6127,0,45,2,2022-08-27
1,2077,0,45,9,2017-04-24
8,331,1,38,7,2021-09-18
9,9917,1,40,8,2016-11-05
9,5461,1,41,9,2013-07-06
4,10023,1,50,8,2014-08-29
8,5567,1,36,7,2018-09-05
1,1553,1,44,8,2014-10-29
9,8721,0,37,8,2020-03-03
3,4132,0,43,9,2017-09-23
6,5369,1,41,7,2015-12-13
5,3938,0,39,5,2014-05-30
4,8456,1,41,8,2016-10-19
1,698,1,46,5,2019-09-30
0,4766,0,32,6,2014-06-22
6,4885,1,38,8,2021-07-11
2,8713,0,44,7,2014-04-01
6,6428,0,43,9,2022-11-25
2,431,0,45,8,2019-08-31
1,10083,1,42,8,2016-04-24
7,1937,1,41,7,2014-11-02
7,5830,1,45,8,2014-09-04
0,7195,1,41,4,2023-01-10
4,10097,0,42,10,2013-01-12
5,1888,1,39,7,2020-12-14
6,5829,1,41,8,2016-06-28
6,5070,1,40,9,2015-12-30
2,3453,0,39,9,2022-03-29
2,9186,1,43,8,2016-08-10
4,1512,1,35,7,2014-12-01
9,4187,1,36,9,2021-07-07
7,1513,0,44,8,2014-03-20
5,6175,0,37,6,2016-05-21
6,1234,0,40,7,2014-03-21
4,7757,1,36,8,2020-04-28
9,5464,0,38,9,2014-12-26
8,10020,1,43,6,2021-10-01
5,5895,0,41,6,2017-07-31
8,2216,1,40,5,2017-07-12
2,5857,1,34,7,2019-04-26
5,6027,0,44,6,2016-02-03
8,6796,0,33,9,2016-12-07
0,7018,0,43,9,2020-11-15
0,4687,1,40,10,2016-10-02
9,347,0,37,9,2018-12-02
3,4412,0,36,7,2014-08-24
8,3,0,43,6,2013-05-21
7,2511,0,37,8,2014-11-10
3,6684,1,37,9,2016-05-14
5,1063,1,39,7,2021-05-14
9,8389,1,42,9,2020-11-12
1,5015,0,33,5,2018-04-18
3,5911,1,33,7,2021-04-12
7,3305,0,44,7,2019-06-16
1,8069,0,35,5,2014-09-09
9,9565,0,51,7,2020-10-04
6,3751,1,39,8,2015-05-02
6,4240,0,37,5,2021-01-15
3,3631,1,41,6,2021-11-03
3,3827,1,37,8,2017-05-28
3,7281,1,38,7,2018-02-20
7,2947,1,43,7,2016-02-20
9,4091,1,38,9,2016-01-30
4,4915,1,38,10,2022-08-19
8,3463,1,39,7,2019-09-04
4,6038,0,30,9,2017-08-02
9,30,0,33,6,2022-07-05
8,5296,0,38,6,2015-11-18
4,7661,1,38,10,2021-06-13
4,5019,0,39,7,2013-07-17
9,2957,1,40,6,2022-05-05
8,7146,1,50,7,2017-08-12
6,575,1,35,9,2013-12-01
0,8834,0,43,8,2021-03-18
5,2881,0,42,8,2014-07-02
6,35,1,37,6,2022-12-13
8,3737,1,40,8,2014-03-09
3,3485,1,41,6,2017-11-29
0,4212,1,38,9,2016-12-13
4,450,0,37,7,2015-09-25
0,6689,0,38,6,2019-12-14
7,6252,1,43,8,2014-12-09
7,6554,0,46,7,2017-06-20
8,829,0,39,6,2013-07-30
6,9544,1,47,7,2021-11-09
2,7386,1,40,7,2018-12-14
8,767,1,40,8,2020-12-01
1,2126,0,43,6,2022-04-13
8,4218,1,34,6,2021-03-31
3,83,0,36,9,2017-03-15
1,1110,0,38,7,2017-05-27
8,7474,0,34,9,2021-05-09
0,1237,0,36,7,2020-09-28
3,5268,0,45,8,2014-12-13
3,2557,1,36,7,2017-04-09
4,3465,0,40,5,2016-10-16
0,9882,1,40,7,2021-01-01
2,947,0,41,6,2019-09-20
4,392,0,35,8,2017-03-05
2,2270,1,38,6,2020-06-01
2,3713,1,44,7,2020-07-12
0,5244,0,41,8,2019-06-09
1,10248,1,45,5,2019-08-24
2,9788,0,42,7,2019-12-23
7,8429,0,37,6,2023-01-06
2,4989,0,40,8,2021-12-15
5,7544,1,33,7,2021-07-30
6,92,0,40,7,2015-07-30
2,3641,0,31,5,2015-04-08
4,10287,0,40,8,2014-11-08
4,1248,0,35,5,2023-02-24
4,2270,1,39,9,2016-04-18
0,2098,0,34,7,2021-05-11
8,8601,1,35,8,2021-02-18
1,7165,0,38,7,2019-02-17
7,3227,1,41,7,2014-05-30
2,3005,0,46,8,2013-10-07
7,9954,1,39,6,2015-07-19
9,3715,0,45,6,2022-09-02
0,7011,0,41,10,2020-07-03
0,3458,1,43,7,2016-10-13
7,3934,0,39,4,2017-07-19
4,6218,1,46,5,2017-09-25
1,10278,1,40,7,2023-04-02
0,7747,1,37,5,2014-02-08
8,3026,1,40,7,2019-01-14
0,6316,1,43,7,2016-11-04
3,10330,0,30,5,2019-02-24
8,9437,0,40,7,2018-10-07
6,4073,0,39,6,2015-06-24
5,7524,0,41,8,2015-05-21
8,255,1,40,6,2016-06-09
4,9255,0,43,8,2018-08-10
5,645,0,34,9,2021-01-23
8,432,0,42,8,2021-07-21
8,9231,0,40,7,2014-10-06
2,8732,0,42,4,2013-04-13
4,7551,1,42,5,2019-04-27
1,2803,0,35,9,2016-05-29
2,1706,0,50,8,2018-01-14
9,9115,1,44,8,2019-01-04
6,5708,0,46,9,2017-06-05
5,10280,1,50,6,2017-05-10
4,991,0,40,9,2015-11-01
2,1899,1,40,7,2017-02-24
3,7555,0,44,8,2021-03-28
6,473,1,39,7,2014-12-02
7,6403,0,43,8,2021-07-04
6,89,1,41,7,2018-12-12
6,377,0,46,8,2015-03-11
9,4641,1,50,8,2021-01-01
1,2862,1,41,7,2019-03-20
0,695,1,42,7,2017-11-20
9,1609,1,42,7,2013-10-22
5,4084,0,48,6,2021-07-01
8,4538,0,34,7,2016-09-17
7,8996,0,34,7,2021-11-09
0,9552,1,37,8,2020-10-25
6,9052,1,52,7,2018-07-08
2,5873,0,46,8,2022-07-16
0,3828,1,36,6,2016-05-16
0,1520,1,39,8,2013-10-26
3,4743,1,35,6,2016-05-13
4,4111,1,43,8,2013-01-08
8,5719,0,46,8,2021-01-14
5,1889,0,35,9,2017-11-01
8,5287,0,34,9,2013-09-10
9,6354,1,44,7,2013-11-22
6,2812,0,35,7,2013-08-07
6,7204,0,53,8,2021-09-13
6,3078,1,37,8,2019-10-09
4,4038,0,45,8,2013-12-30
6,2530,0,37,6,2015-02-28
3,3688,1,43,7,2020-10-07
3,7286,1,39,9,2020-09-09
3,8800,0,32,8,2013-11-27
5,5376,1,47,9,2017-03-25
6,1591,1,42,8,2015-05-16
2,1900,0,37,6,2023-02-04
3,3001,0,34,9,2020-05-21
7,1601,0,41,8,2020-03-30
9,8797,1,39,9,2015-03-15
7,8474,0,40,7,2019-12-30
0,7478,1,48,9,2016-04-09
6,5462,0,43,8,2022-09-26
2,8550,1,39,9,2016-03-31
3,688,0,44,7,2022-12-16
4,4402,0,44,6,2023-02-17
3,3567,0,40,10,2021-03-10
2,9140,0,41,9,2013-05-23
0,2178,0,42,7,2013-11-17
2,2592,0,36,8,2018-11-19
7,9636,1,30,9,2022-10-19
2,4492,0,40,8,2014-04-18
6,6640,0,31,7,2017-05-04
7,10368,1,41,3,2017-07-18
4,2287,1,44,7,2014-03-03
1,6238,1,46,6,2021-01-12
4,6860,1,45,8,2022-07-14
8,5958,0,34,7,2021-10-22
0,1578,1,37,9,2018-02-24
9,1532,0,40,8,2022-04-13
6,7065,1,48,7,2022-06-10
0,151,0,37,8,2020-11-09
7,7081,0,41,9,2015-10-26
0,507,1,38,8,2022-11-04
9,20,1,33,6,2014-11-28
7,7313,1,41,8,2017-09-25
7,6371,0,42,8,2014-04-14
7,7651,0,33,9,2013-02-05
2,4714,0,38,5,2015-11-03
4,1820,0,33,9,2021-09-20
0,1800,0,40,9,2022-08-13
5,8081,0,44,7,2022-03-19
5,9279,1,39,6,2021-04-04
0,4197,0,44,7,2021-12-28
2,2533,1,41,8,2014-01-19
1,9200,0,35,9,2018-12-29
8,8402,0,40,6,2019-08-17
9,7593,0,38,8,2017-11-20
6,1123,1,41,8,2021-09-20
4,7274,0,41,7,2019-05-13
4,7840,1,38,8,2017-11-18
4,4071,0,37,8,2017-09-21
6,4195,1,35,5,2021-05-15
2,8843,0,44,8,2022-11-05
3,1585,1,41,9,2022-07-20
0,1575,1,38,10,2021-06-14
7,6580,0,37,8,2022-03-05
2,2311,1,41,6,2019-11-09
5,9321,1,37,8,2016-07-10
6,2025,0,45,8,2019-02-07
7,4528,1,42,9,2015-11-14
8,6579,0,47,7,2018-11-30
3,5064,0,36,6,2019-09-03
2,2371,0,34,10,2017-06-18
7,1650,0,44,8,2019-03-03
6,540,1,35,10,2020-04-05
2,6472,0,39,9,2019-12-14
7,9739,0,34,8,2021-07-18
0,1326,0,40,7,2018-05-13
7,7551,1,46,10,2018-09-04
5,4386,0,33,7,2020-03-07
1,5952,1,36,9,2016-10-02
9,8538,1,36,8,2019-07-29
9,6193,0,31,6,2019-07-09
8,5077,0,42,6,2020-12-23
0,1793,0,37,7,2014-10-07
4,7889,0,46,7,2016-09-17
0,8842,1,42,5,2022-11-20
2,6265,0,45,6,2014-04-29
8,591,0,38,8,2018-12-13
2,4878,0,38,9,2020-11-13
3,9785,0,44,7,2013-11-04
1,9420,1,41,9,2021-09-29
2,3039,0,40,5,2021-12-03
8,888,1,39,6,2019-06-12
1,958,0,52,8,2021-08-31
6,9008,1,37,7,2016-08-23
3,1982,0,45,7,2019-12-25
3,5364,0,42,7,2021-02-10
5,9743,0,36,9,2014-05-02
2,5268,1,41,6,2014-04-17
2,8758,0,42,9,2013-11-01
7,5782,0,37,5,2022-06-16
2,2876,1,39,8,2018-11-26
7,8335,0,38,8,2018-09-16
7,1495,0,44,8,2014-04-16
8,3954,0,43,7,2015-05-09
6,7473,0,38,8,2020-03-30
4,7389,1,38,6,2017-11-25
3,9514,1,42,8,2019-04-12
6,239,1,43,9,2015-04-27
9,4499,0,42,8,2021-02-15
5,362,0,33,7,2013-02-15
9,6006,1,39,5,2013-02-24
0,1161,1,37,9,2014-10-14
5,6188,1,35,8,2021-06-11
4,6082,1,26,7,2015-09-27
8,8892,0,42,10,2014-07-07
0,1132,0,37,8,2014-02-17
0,10260,1,38,9,2013-11-19
2,1653,1,41,8,2014-12-10
2,9122,0,40,6,2022-03-02
1,7549,0,46,10,2018-04-23
5,2383,0,37,7,2017-03-12
8,9940,1,40,5,2017-11-24
0,6350,0,42,10,2018-07-15
4,3435,0,38,8,2015-08-17
8,4364,1,34,6,2017-05-28
6,3573,1,36,8,2015-05-25
2,189,1,42,6,2014-06-26
4,15,1,26,6,2014-10-21
9,1316,1,44,8,2016-05-16
3,5815,0,42,9,2023-01-30
2,5358,1,41,8,2016-11-16
6,10182,1,41,8,2015-12-23
6,9294,1,37,5,2013-02-02
2,28,1,32,7,2020-02-21
9,4767,1,39,8,2022-10-17
7,4882,0,39,8,2022-12-04
8,6740,1,37,8,2013-12-13
8,9625,1,34,6,2015-10-03
1,8334,1,39,7,2018-08-21
6,3532,0,40,9,2019-02-07
8,4953,0,40,8,2016-01-29
0,5948,0,40,7,2019-07-02
0,5117,1,43,9,2018-06-24
2,2962,1,47,5,2014-08-29
0,187,0,39,7,2018-11-08
1,9415,1,40,5,2015-12-24
1,3986,0,47,8,2013-07-15
7,5110,0,35,8,2014-11-20
4,8243,0,35,6,2018-06-23
9,9592,1,47,6,2015-12-26
1,10087,1,48,8,2022-01-12
8,2285,0,39,9,2015-09-18
5,10368,0,37,5,2014-03-08
9,5519,0,42,7,2019-07-09
2,5918,1,37,5,2013-08-04
8,7130,0,39,8,2014-04-15
0,5030,1,42,9,2015-06-04
1,6890,0,35,9,2023-03-11
0,2430,1,40,5,2014-04-17
5,8631,1,40,7,2015-12-20
4,7209,1,42,7,2022-05-14
9,3973,1,36,8,2014-08-08
3,3608,1,42,7,2016-06-18
8,461,0,35,8,2013-08-07
4,2461,0,37,9,2019-08-19
1,4354,0,49,7,2016-04-17
3,2500,0,44,10,2017-11-22
9,2131,1,37,6,2020-02-06
0,2907,0,45,8,2018-04-29
0,2742,1,45,6,2014-01-18
0,6886,1,37,8,2022-05-14
4,10327,0,38,5,2016-06-26
1,4725,0,34,6,2023-03-08
5,7902,1,43,7,2022-06-13
5,6022,0,28,9,2018-10-30
6,10280,0,44,6,2014-01-26
8,4085,1,47,7,2014-01-07
9,8827,0,39,7,2020-12-05
4,4036,0,33,8,2022-01-18
5,224,0,42,9,2015-06-21
6,1110,0,43,5,2014-04-20
2,4797,1,41,9,2023-02-21
